x,Curve1,Curve2,Curve3,Curve4
9.9926,0.1504,-0.9606,-0.6211,-1.0051
10.0973,0.2723,-0.9358,-0.4207,-0.9971
10.1021,0.2781,-0.9347,-0.4087,-0.9968
10.1063,0.283,-0.9337,-0.3983,-0.9965
10.2702,0.4679,-0.8948,-0.1292,-0.9837
10.5586,0.6856,-0.8247,0.0995,-0.949
10.6085,0.7074,-0.8115,0.143,-0.9398
10.6328,0.7165,-0.8041,0.167,-0.9348
10.7846,0.7558,-0.7029,0.3813,-0.8931
10.805,0.7593,-0.6841,0.4153,-0.8857
10.8142,0.7608,-0.6756,0.4302,-0.8822
10.9734,0.7788,-0.5257,0.6518,-0.8012
11.1788,0.7896,-0.3304,0.827,-0.6177
11.1989,0.7904,-0.3113,0.8381,-0.5923
11.237,0.792,-0.2754,0.858,-0.5383
11.3976,0.8021,-0.1411,0.9298,-0.2341
11.4609,0.8094,-0.1022,0.9533,-0.137
11.5738,0.8281,-0.0582,0.9874,-0.0098
11.7079,0.857,-0.0414,1.0098,0.1169
11.8269,0.883,-0.0443,1.002,0.2284
11.9921,0.9093,-0.0596,0.9349,0.4122
12.0557,0.9152,-0.0656,0.8949,0.4732
12.0774,0.9167,-0.0673,0.8806,0.4913
12.0801,0.9168,-0.0675,0.8788,0.4935
12.3622,0.9187,-0.0203,0.6869,0.6865
12.4518,0.9127,0.0489,0.6108,0.7483
12.4751,0.9106,0.073,0.5882,0.7657
12.5906,0.8936,0.2212,0.4646,0.8684
12.616,0.8875,0.2575,0.4363,0.8938
12.7005,0.8334,0.3793,0.3416,0.9663
12.73,0.8014,0.4207,0.3085,0.9838
12.845,0.8148,0.5648,0.181,1.0201
12.962,0.8137,0.6735,0.0558,1.0213
13.0403,0.7972,0.7277,-0.0234,1.0091
13.0703,0.7869,0.7453,-0.0526,1.0024
13.276,0.6608,0.8308,-0.2455,0.9364
13.3533,0.5962,0.8512,-0.3206,0.9052
13.5332,0.4277,0.8846,-0.5395,0.8188
13.552,0.4095,0.8873,-0.5751,0.8081
13.5549,0.4067,0.8877,-0.581,0.8065
13.7053,0.2606,0.9062,-0.812,0.6825
13.8088,0.1591,0.9173,-0.8803,0.5714
13.9764,-0.0095,0.9369,-0.9538,0.4091
13.9831,-0.0165,0.9379,-0.9561,0.4026
14.1885,-0.2224,0.9711,-0.9987,0.1977
14.2943,-0.3049,0.9861,-0.9934,0.0765
14.3539,-0.3393,0.9896,-0.9803,-0.0068
14.4012,-0.36,0.9869,-0.965,-0.086
14.5523,-0.4044,0.9273,-0.8962,-0.325
14.6287,-0.4236,0.8936,-0.8558,-0.4018
14.6693,-0.4355,0.8886,-0.8341,-0.4378
14.7517,-0.4685,0.8818,-0.7902,-0.5062
