x,Curve1,Curve2,Curve3,Curve4
-0.2018,-0.1288,0.911,,
-0.0825,-0.1641,0.9485,,
0.0376,-0.2345,0.9863,,
0.18,-0.3512,1.0593,,
0.3892,-0.4593,1.1824,,
0.6614,-0.4271,1.2502,,
0.877,-0.4007,1.1304,,
1.0607,-0.4193,0.93,,
1.2833,-0.4727,0.69,,
1.4175,-0.5128,0.493,,
1.6467,-0.5863,0.4769,,
1.8575,-0.6551,0.4622,,
2.2987,-0.8138,0.3206,,
2.4317,-0.8752,0.2283,,
2.4879,-0.9088,0.1377,,
2.768,-0.9967,-0.225,,
2.8332,-0.9773,-0.2765,,
3.2295,-0.8479,-0.3319,,
3.2762,-0.832,-0.7834,,
3.4124,-0.7849,-0.9414,,
4.0722,-0.5438,-0.9721,,
4.0886,-0.5375,-0.9839,,
4.3859,-0.4193,-1.4831,,
5.089,-0.175,-1.4646,,
5.131,-0.1661,-1.4734,,
5.3993,-0.1269,-1.6862,,
6.1066,-0.0489,-1.7036,,
6.3668,0.0238,-1.717,,
6.7313,0.2443,-1.8667,,
6.7983,0.4788,-1.9138,,
6.853,0.5011,-1.9448,,
7.2033,0.579,-1.8217,,
7.2403,0.5865,-1.2245,,
7.4942,0.645,-1.2172,,
7.7226,0.7144,-1.1137,,
7.8439,0.7532,-0.4753,,
7.8471,0.7542,-0.4797,,
8.1496,0.8246,-0.0303,,
8.2715,0.8315,0.1955,,
8.5837,0.7893,0.4437,,
9.0199,0.7392,-0.0098,,
9.0724,0.7495,0.0005,,
9.6772,0.9177,0.8414,,
9.7214,0.9113,0.8993,,
10.1621,0.7574,0.8069,,
10.6486,0.5545,0.7737,,
10.9092,0.5046,0.8254,,
11.259,0.4989,0.9916,,
11.3087,0.493,1.0102,,
11.5216,0.4307,1.0901,,
11.6519,0.3754,1.2255,,
11.8827,0.2775,1.0739,,
11.9176,0.2654,1.0593,,
12.2683,0.1669,1.1393,,
12.3681,0.1236,1.1887,,
