x,Curve1,Curve2,Curve3,Curve4
19.9783,-0.6894,-0.5566,-0.4663,-0.9386
19.9889,-0.6679,-0.5709,-0.4332,-0.9445
20.0185,-0.6068,-0.6137,-0.3409,-0.9607
20.0464,-0.5487,-0.6541,-0.2546,-0.9748
20.1137,-0.4095,-0.7297,-0.0505,-1.001
20.2196,-0.2078,-0.777,0.2465,-1.0035
20.2605,-0.1384,-0.7796,0.3415,-0.9882
20.2666,-0.1284,-0.7795,0.354,-0.9851
20.298,-0.0792,-0.777,0.4084,-0.9665
20.4069,0.0741,-0.7506,0.5418,-0.863
20.4588,0.1428,-0.7301,0.6167,-0.7867
20.5982,0.3342,-0.6501,0.8266,-0.4617
20.6066,0.347,-0.644,0.8382,-0.4452
20.6172,0.3634,-0.636,0.8524,-0.4261
20.7262,0.5566,-0.5338,0.9598,-0.2494
20.7521,0.6082,-0.5019,0.9723,-0.1944
20.8004,0.7045,-0.432,0.9825,-0.0589
20.8024,0.7082,-0.4289,0.9826,-0.0527
20.8906,0.8174,-0.2574,0.9656,0.2461
20.9432,0.8238,-0.1272,0.9372,0.3889
20.9915,0.8117,0.0007,0.9006,0.489
21.0278,0.7956,0.0869,0.8672,0.5523
21.0441,0.7865,0.1204,0.8507,0.5784
21.1709,0.6651,0.3006,0.697,0.7573
21.1876,0.6384,0.3185,0.674,0.7779
21.2686,0.4533,0.4007,0.5514,0.8673
21.2996,0.3726,0.4307,0.4991,0.8955
21.3293,0.3042,0.4591,0.4446,0.9189
21.452,0.1123,0.5739,0.1304,0.983
21.4582,0.1039,0.5797,0.1094,0.9852
21.5111,0.0317,0.6293,-0.082,0.9976
21.5583,-0.035,0.6735,-0.2471,0.9871
21.5888,-0.0798,0.6996,-0.3382,0.9659
21.608,-0.1087,0.7136,-0.3863,0.947
21.7231,-0.2879,0.7016,-0.596,0.7749
21.7324,-0.3027,0.6921,-0.6125,0.7581
21.7944,-0.4025,0.6051,-0.7267,0.6367
21.8878,-0.5546,0.4121,-0.8734,0.4203
21.9239,-0.6126,0.3143,-0.9142,0.3407
21.9329,-0.6262,0.2869,-0.9228,0.3217
21.9386,-0.6347,0.2686,-0.928,0.3097
22.098,-0.6584,-0.2368,-1.0023,-0.019
22.101,-0.6555,-0.242,-1.0027,-0.0252
22.1684,-0.5777,-0.3422,-1.003,-0.1717
22.1742,-0.5701,-0.3499,-1.002,-0.1855
22.2551,-0.4585,-0.4488,-0.9526,-0.4171
22.301,-0.3905,-0.5031,-0.8936,-0.5104
22.3986,-0.2383,-0.6321,-0.7592,-0.6842
22.4126,-0.2159,-0.6553,-0.7371,-0.7092
22.4795,-0.1065,-0.8175,-0.6218,-0.8204
22.556,0.0215,-0.9079,-0.4748,-0.9118
22.5949,0.0873,-0.8929,-0.3952,-0.9427
22.6556,0.1899,-0.8491,-0.2658,-0.9728
22.8015,0.4208,-0.6999,0.0579,-0.9824
22.9077,0.5409,-0.5683,0.2976,-0.9526
23.0409,0.6304,-0.3805,0.5956,-0.8674
23.0514,0.6366,-0.3646,0.6187,-0.857
23.1388,0.6847,-0.228,0.8037,-0.7217
23.2186,0.7184,-0.0962,0.9425,-0.4598
23.272,0.7332,-0.0049,0.9567,-0.2922
23.2937,0.7371,0.0328,0.9338,-0.2353
23.3716,0.7393,0.1708,0.9538,-0.0626
23.4368,0.7245,0.2905,0.979,0.0606
23.4774,0.7063,0.3676,0.9845,0.1382
23.5376,0.6672,0.4863,0.9703,0.286
23.539,0.6661,0.4891,0.9697,0.2914
23.5935,0.6193,0.601,0.9319,0.6019
23.7335,0.4522,0.833,0.7333,0.8009
23.7342,0.4512,0.8338,0.7319,0.8017
23.7935,0.3565,0.8862,0.6093,0.86
23.8886,0.1467,0.9309,0.3869,0.9342
23.9085,0.1183,0.9356,0.3383,0.9466
23.9877,0.0446,0.9415,0.1452,0.983
24.051,-0.0109,0.9322,-0.0043,0.9951
24.0939,-0.062,0.9182,-0.1004,0.9927
24.1521,-0.2714,0.8878,-0.2241,0.9723
24.1859,-0.3214,0.8634,-0.293,0.9489
24.2721,-0.4016,0.7757,-0.4593,0.8393
24.3527,-0.451,0.6571,-0.6034,0.6716
24.3724,-0.4605,0.6232,-0.6367,0.6241
24.4227,-0.4806,0.5278,-0.7177,0.5046
24.516,-0.5034,0.3141,-0.8397,0.3354
24.5162,-0.5034,0.3137,-0.8399,0.3352
24.5387,-0.5064,0.2521,-0.8631,0.3039
24.6603,-0.5055,-0.04,-0.9575,0.1451
24.7379,-0.488,-0.1368,-0.9858,0.0315
24.7592,-0.4804,-0.1597,-0.9882,-0.0038
24.805,-0.4586,-0.2067,-0.9837,-0.0864
24.9458,-0.3311,-0.3502,-0.8805,-0.3895
24.9749,-0.2934,-0.3821,-0.8447,-0.4585
24.9776,-0.2897,-0.3851,-0.8412,-0.4649
25.0611,-0.1706,-0.4818,-0.7191,-0.6317
25.0719,-0.1552,-0.4947,-0.7019,-0.6485
25.2187,0.0406,-0.6683,-0.4451,-0.8771
25.2315,0.0569,-0.6821,-0.4209,-0.8975
25.2715,0.1084,-0.7223,-0.3428,-0.9571
25.3245,0.1771,-0.769,-0.2307,-1.0033
25.3613,0.2259,-0.8027,-0.1393,-1.0142
25.383,0.2542,-0.8269,-0.0828,-1.0156
25.3883,0.261,-0.8336,-0.0695,-1.0156
25.5084,0.3783,-1.0238,0.2134,-0.9818
25.5316,0.3921,-1.0574,0.2708,-0.9681
25.5496,0.4011,-1.0808,0.3164,-0.9554
25.6013,0.4208,-1.1416,0.4495,-0.9057
25.6197,0.4263,-1.1636,0.495,-0.8812
25.6889,0.4425,-1.2667,0.6132,-0.7494
25.7459,0.4531,-1.3839,0.6828,-0.6189
25.7689,0.4571,-1.4298,0.7102,-0.5735
25.8464,0.4707,-1.5048,0.7986,-0.4577
25.9314,0.488,-1.3488,0.887,-0.341
25.9512,0.4927,-1.2868,0.9058,-0.3062
25.9856,0.5015,-1.1726,0.9363,-0.2188
26.0342,0.515,-1.0347,0.9735,-0.0245
26.0836,0.5301,-0.9357,1.0008,0.0996
26.1111,0.5391,-0.8909,1.0086,0.1495
26.1458,0.551,-0.8393,1.0077,0.2066
26.2997,0.6125,-0.6469,0.8207,0.4811
26.3116,0.618,-0.6341,0.7988,0.5175
26.327,0.6255,-0.618,0.7706,0.5809
26.3358,0.6299,-0.6091,0.7547,0.6179
26.3829,0.6573,-0.5639,0.6692,0.7411
26.4537,0.7339,-0.4997,0.5398,0.8501
26.5608,0.8453,-0.3852,0.3342,0.9556
26.57,0.8509,-0.3716,0.3152,0.9619
26.5803,0.8567,-0.355,0.2934,0.9685
26.6785,0.893,-0.1352,0.0445,1.0012
26.6864,0.8946,-0.1179,0.0196,1.0013
26.6999,0.8968,-0.0905,-0.024,1.0006
26.8068,0.8786,0.0977,-0.2971,0.9585
26.8152,0.8716,0.1134,-0.3128,0.9527
26.8262,0.8596,0.1349,-0.3325,0.9447
26.922,0.6187,0.3306,-0.4901,0.8517
26.938,0.5858,0.3516,-0.5155,0.832
26.9918,0.4947,0.4078,-0.6009,0.756
27.0445,0.4203,0.4552,-0.6881,0.6588
27.108,0.3445,0.5121,-0.8039,0.4988
27.1213,0.332,0.5249,-0.8282,0.4672
27.1491,0.3087,0.5539,-0.8749,0.4091
27.1795,0.2579,0.5923,-0.9166,0.3512
27.2021,0.2169,0.6259,-0.9407,0.3096
27.2754,0.0789,0.7201,-0.9879,0.1721
27.2793,0.0713,0.7228,-0.9894,0.1641
27.3946,-0.162,0.752,-0.9917,-0.1174
27.4237,-0.2257,0.7519,-0.98,-0.1888
27.4431,-0.27,0.7512,-0.9694,-0.2304
27.4734,-0.3418,0.7491,-0.9483,-0.2855
27.4952,-0.3942,0.7471,-0.9302,-0.3195
27.625,-0.6515,0.7105,-0.7829,-0.5037
27.6526,-0.6853,0.6914,-0.7446,-0.5504
27.696,-0.7274,0.6418,-0.6804,-0.6379
27.7009,-0.7315,0.6337,-0.6729,-0.6486
27.7821,-0.7839,0.3824,-0.5117,-0.8391
27.7937,-0.7893,0.3407,-0.4781,-0.8639
27.8602,-0.8116,0.1429,-0.2882,-0.9544
27.8953,-0.8174,0.0594,-0.1991,-0.9735
27.9189,-0.8189,0.0077,-0.1459,-0.9803
27.939,-0.8186,-0.0345,-0.1051,-0.9834
28.0586,-0.7816,-0.2648,0.1213,-0.9745
28.1354,-0.7161,-0.4014,0.3467,-0.9519
28.1698,-0.6714,-0.461,0.4247,-0.9372
28.2048,-0.6164,-0.5212,0.4836,-0.9183
28.2358,-0.5629,-0.5741,0.5281,-0.8966
28.338,-0.3885,-0.7289,0.6775,-0.7215
28.3455,-0.3766,-0.7371,0.693,-0.6986
28.3616,-0.3516,-0.7532,0.7339,-0.651
28.3765,-0.3288,-0.7665,0.7791,-0.6116
28.4357,-0.2422,-0.8111,0.887,-0.4816
28.4871,-0.1696,-0.8424,0.9239,-0.3838
28.6126,0.0024,-0.8947,0.9646,-0.0949
28.6182,0.0101,-0.8963,0.9653,-0.0781
28.668,0.0785,-0.9072,0.968,0.0728
28.69,0.1093,-0.9102,0.9666,0.1401
28.8347,0.3061,-0.8975,0.8992,0.5335
28.8504,0.3241,-0.8925,0.8849,0.5642
28.8892,0.3665,-0.877,0.844,0.6225
28.9578,0.4377,-0.8383,0.757,0.6773
29.0176,0.4979,-0.7929,0.6674,0.7213
29.0466,0.527,-0.7673,0.6203,0.7516
29.1035,0.5842,-0.7112,0.5223,0.8191
29.2046,0.6725,-0.5936,0.3099,0.931
29.2773,0.701,-0.4953,0.05,0.985
29.2848,0.703,-0.4844,0.0285,0.9887
29.3009,0.7071,-0.4606,-0.0074,0.9952
29.3371,0.715,-0.4048,-0.0731,1.0035
29.3922,0.7247,-0.3129,-0.1737,1
29.569,0.7407,0.0434,-0.5196,0.8589
29.6165,0.7404,0.1513,-0.6108,0.7797
29.665,0.7368,0.2622,-0.7006,0.68
29.7116,0.729,0.3638,-0.78,0.5756
29.7989,0.6903,0.5292,-0.8928,0.3897
29.8508,0.6404,0.6093,-0.9315,0.2935
29.9102,0.557,0.6859,-0.9596,0.1903
29.9397,0.5126,0.7187,-0.9677,0.1401
30.0634,0.3376,0.8303,-0.953,-0.0768
30.0859,0.306,0.8471,-0.9405,-0.1227
30.1586,0.202,0.8956,-0.881,-0.397
30.2689,0.0363,0.9514,-0.7509,-0.6022
30.2744,0.0277,0.9535,-0.7435,-0.611
30.3164,-0.0389,0.9671,-0.6841,-0.6785
30.3189,-0.0429,0.9677,-0.6803,-0.6826
30.4002,-0.1753,0.9685,-0.5051,-0.8144
30.5325,-0.3961,0.8091,-0.0947,-0.9729
30.5388,-0.4066,0.7981,-0.079,-0.9773
30.5452,-0.4173,0.787,-0.0636,-0.9816
30.6558,-0.5988,0.5924,0.1523,-1.0049
30.7205,-0.6942,0.4763,0.2677,-0.9835
