x,Curve1,Curve2,Curve3,Curve4
-0.011,0.0855,0.9884,0.7316,0.9872
0.107,-0.0833,0.9567,0.5175,0.9716
0.113,-0.0925,0.955,0.5064,0.9708
0.161,-0.1611,0.9423,0.4226,0.9643
0.282,-0.3337,0.91,0.1859,0.9475
0.451,-0.5625,0.8634,-0.1282,0.9219
0.489,-0.6089,0.8525,-0.1703,0.9156
0.745,-0.8076,0.7679,-0.4445,0.8641
0.791,-0.8379,0.7485,-0.5192,0.8521
0.89,-0.9015,0.6924,-0.779,0.8211
0.892,-0.9023,0.6913,-0.7804,0.8206
0.931,-0.9257,0.6422,-0.8134,0.8053
1.003,-0.9645,0.4198,-0.8525,0.7705
1.19,-1.0315,0.3249,-0.9113,0.5514
1.26,-1.0383,0.2705,-0.9263,0.3436
1.273,-1.0381,0.2566,-0.9291,0.3224
1.317,-1.034,0.2041,-0.937,0.2694
1.485,-0.9722,-0.096,-0.9606,0.1191
1.53,-0.9455,0.0963,-0.9651,0.0833
1.611,-0.8899,-0.3524,-0.9712,0.0205
1.779,-0.7626,-0.5207,-0.9748,-0.1096
1.786,-0.7574,-0.5236,-0.9747,-0.1152
1.868,-0.6988,-0.5575,-0.9706,-0.185
1.949,-0.6438,-0.5984,-0.9613,-0.272
1.999,-0.6127,-0.625,-0.9522,-0.5444
2.04,-0.588,-0.6474,-0.9422,-0.5831
2.299,-0.4613,-0.7775,-0.7902,-0.6534
2.339,-0.4476,-0.7946,-0.7468,-0.665
2.427,-0.4219,-0.8303,-0.6344,-0.6997
2.469,-0.4111,-0.8464,-0.5809,-0.7241
2.732,-0.3202,-0.9351,-0.2928,-0.9796
2.776,-0.2927,-0.9481,-0.2497,-1.0033
2.853,-0.2303,-0.9698,-0.1751,-1.0318
3.037,0.0388,-1.013,-0.0008,-1.0597
3.069,0.1975,-1.0189,0.0298,-1.0614
3.084,0.3914,-1.0215,0.0446,-1.0619
3.167,0.4572,-1.0328,0.1285,-1.0624
3.3,0.5004,-1.0347,0.2841,-1.0548
3.429,0.5597,-1.0019,0.4683,-1.0373
3.5,0.5996,-0.9612,0.5739,-1.0222
3.629,0.6924,-0.8458,0.7476,-0.974
3.691,0.7632,-0.7814,0.816,-0.8995
3.762,0.9599,-0.7103,0.8794,-0.6406
3.778,0.9681,-0.6952,0.8914,-0.6267
3.805,0.9769,-0.6727,0.9084,-0.6076
3.823,0.9812,-0.6586,0.9185,-0.596
4.109,0.9986,-0.429,0.9808,-0.4584
4.296,0.9955,-0.112,0.9876,-0.3736
4.372,0.9932,-0.0124,0.9906,-0.3311
4.412,0.9919,0.0168,0.9923,-0.3008
4.415,0.9918,0.0186,0.9924,-0.2976
4.555,0.9877,0.0489,0.9976,0.1376
4.674,0.9856,0.0838,0.9998,0.2147
4.855,0.898,0.2296,0.9932,0.3466
4.893,0.8679,0.2743,0.9886,0.3851
4.98,0.7981,0.7025,0.9651,0.7848
4.982,0.7958,0.7057,0.9636,0.8077
4.984,0.7948,0.7069,0.963,0.8146
4.985,0.7936,0.7085,0.9621,0.8227
5.068,0.7263,0.7662,0.648,0.9513
5.368,0.4749,0.8833,0.4817,0.9572
5.373,0.4703,0.8849,0.4792,0.9557
5.538,0.3147,0.9286,0.3911,0.8972
5.545,0.3102,0.9301,0.3871,0.8946
5.752,0.1587,0.9687,0.2122,0.808
5.833,0.0832,0.9784,0.0575,0.7745
5.88,0.0328,0.9826,0.0263,0.7555
5.88,0.0327,0.9826,0.0262,0.7554
6.148,-0.335,0.975,-0.3508,0.6722
6.231,-0.4681,0.9534,-0.4973,0.6737
6.262,-0.5186,0.9412,-0.5503,0.6872
6.346,-0.6459,0.888,-0.6916,0.9689
6.364,-0.6631,0.8722,-0.7192,0.9558
6.448,-0.719,0.7699,-0.8329,0.8528
6.517,-0.7557,0.6534,-0.8995,0.7546
6.616,-0.8042,0.3917,-0.9515,0.6101
6.7,-0.8421,0.1674,-0.9709,0.4861
6.773,-0.8727,0.1664,-0.98,0.3778
6.958,-0.9356,0.1771,-0.9926,0.1225
7.13,-0.9731,0.1418,-0.9945,-0.0555
7.256,-0.9832,0.0344,-0.9891,-0.121
7.333,-0.98,-0.0933,-0.9821,-0.2484
7.383,-0.9733,-0.2495,-0.9756,-0.3454
7.384,-0.9731,-0.4296,-0.9754,-0.347
7.424,-0.9648,-0.512,-0.9686,-0.4064
7.463,-0.9547,-0.5501,-0.9607,-0.4575
7.553,-0.922,-0.6186,-0.9345,-0.6082
7.722,-0.8261,-0.712,-0.8454,-0.903
7.853,-0.72,-0.7556,-0.7376,-0.9557
7.896,-0.6781,-0.762,-0.6979,-0.9676
8.027,-0.5312,-0.7567,-0.5793,-0.9936
8.288,-0.185,-0.7396,-0.326,-1.0146
8.326,-0.1538,-0.7427,-0.2818,-1.0147
8.376,-0.1337,-0.7487,-0.2185,-1.0135
8.41,-0.1325,-0.7538,-0.1698,-1.0119
8.507,-0.1578,-0.7715,0.0137,-1.0033
8.64,-0.1833,-0.8003,0.3855,-0.9813
8.721,-0.1337,-0.8189,0.5667,-0.9619
8.815,0.0811,-0.8407,0.6548,-0.933
9.03,0.5907,-0.8814,0.7776,-0.8407
9.057,0.6244,-0.8836,0.7907,-0.8263
9.058,0.6251,-0.8837,0.791,-0.826
9.232,0.7595,-0.6593,0.8691,-0.7151
9.335,0.803,-0.5295,0.9113,-0.6242
9.406,0.8243,-0.4564,0.9384,-0.2639
9.409,0.825,-0.4537,0.9394,-0.2618
9.636,0.8664,-0.2219,0.9965,-0.1499
9.668,0.8708,-0.1849,0.9992,-0.1371
9.853,0.8909,0.1251,0.9882,-0.0596
9.887,0.8921,0.2062,0.982,-0.0424
9.928,0.8919,0.2736,0.9734,-0.0182
9.93,0.8918,0.2761,0.9729,-0.0167
10.062,0.8769,0.4178,0.9354,0.3332
10.11,0.8665,0.4717,0.9183,0.3757
10.148,0.8566,0.5149,0.9032,0.4113
10.41,0.7525,0.7929,0.7543,0.7575
10.495,0.7009,0.8694,0.6742,0.9177
10.584,0.6285,0.937,0.5397,0.993
10.624,0.5845,0.9616,0.445,1.0064
10.628,0.5785,0.9642,0.4315,1.0075
10.705,0.4184,1.0009,0.1229,1.0173
10.791,0.1486,1.0261,-0.0472,1.0164
10.96,0.0162,1.0369,-0.1783,0.9966
11.091,-0.0501,1.0264,-0.2567,0.9719
11.145,-0.1063,1.0204,-0.289,0.9598
11.188,-0.2113,1.0156,-0.3143,0.9499
11.217,-0.2937,1.0122,-0.3324,0.9427
11.431,-0.657,0.9786,-0.486,0.8767
11.471,-0.6975,0.9694,-0.5456,0.8596
11.702,-0.7941,0.884,-0.8754,0.7192
11.728,-0.8,0.8688,-0.8834,0.6983
11.832,-0.8254,0.7833,-0.9081,0.6047
11.9,-0.8449,0.687,-0.9199,0.5362
12.126,-0.9222,0.1423,-0.9437,0.2724
12.128,-0.9227,0.1405,-0.9438,0.2705
12.17,-0.9382,0.0972,-0.9464,0.1551
12.34,-1.0025,0.0182,-0.9528,-0.0436
12.416,-1.0315,-0.0011,-0.9538,-0.1152
12.512,-1.0671,-0.0435,-0.9538,-0.2022
12.63,-1.1076,-0.3929,-0.9515,-0.3095
12.637,-1.11,-0.4025,-0.9513,-0.3165
12.681,-1.122,-0.4468,-0.9497,-0.3576
12.889,-0.9986,-0.5786,-0.9347,-0.5871
